"ID_Resultado","ID","Dispositivo","Tiempo","TareaCompletada","Comentarios","PropuestasMejora","Valoracion"
"6","6","ordenador","00:05:12","1","nada que comentar","bastante bien en general","8"
"7","7","tablet","00:11:58","1","La información está bien pero algunas imágenes tardan en cargar","No se","7"
"8","8","teléfono","00:03:41","1","En móvil algunos textos quedan demasiado juntos","aumentar el espacio entre secciones en móvil","8"

